source_document,source_page,book_page,event_date_raw,year,event_type,ruler_actor,title,text_asli,notes,era_slug,fort_name,dominion_status,tags
CD1,74,48,17 Januari 1607,1607,perjanjian,Coninck van Atchin,Traktat pertama: VOC dapat hak bangun pos berbenteng di Atjeh,"Accoordt gemaekt tusschen den vice admiraell Olivier van Yivere... ter eenre ende den doorlughtige Coninck van Atchin ter andere zijde desen 17e Januarij vant jaer Onses Heeren Jesu Christij 1607 jn de stadt Atchin... alsoo nodigh is, dat de Heeren Staten voor haere capiteijnen tot bevorderingh van de negotie... een versekerde ende vaste plaetse hebben... zal Zijn Maijesteijt aen de Heeren Staten... geven alsulcke plaetse als zij zullen begeeren, t'zij hier offte in eenige eijlanden onder het gebiedt van Zijn Maijesteijt wesende, soo groot oflte cleijn als de Heeren Staten... sall goedtduncken.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid I, traktat XXI 'Atjeh'. Fondasi hukum kehadiran VOC di Atjeh, tahun yg sama dgn naiknya Sultan Iskandar Muda.",klaim-awal,,,
CD1,371,345,15 Februari 1641,1641,suksesi,Iskander Tsani (wafat) -> Ratu Atjeh (Safiatuddin),"Iskandar Thani wafat, Ratu Atjeh naik takhta","Zijn opvolger en schoonzoon overleed den 15 Februari 1641 en nu kwam de tijd eener vrouwenregeering, ingewijd door een dochter van Iskander Moeda, weduwe van diens opvolger. ... Haar voorganger en echtgenoot (Bouwstoffen, II, bldz. 74, noot 1), Iskander Tsani.","CATATAN: text_asli di sini adalah narasi + catatan kaki EDITOR (J.E. Heeres, Corpus Diplomaticum jilid I), BUKAN kutipan langsung dokumen periode VOC -- beda dari baris CD1 lain yg mengutip traktat asli. SUMBER PRIMER PERTAMA di seluruh korpus riset kami utk identitas 'Iskander Tsani' (Iskandar Thani) sbg pendahulu/suami Ratu Atjeh -- sebelumnya EKSPLISIT ditolak masuk data krn tak tersitasi (lihat docs/prd/prd-linimasa-kronik-pantai-barat.md §2).",ratu-puncak,,,
CD1,372,346-347,Februari-Maret 1641,1641,administratif,Paducka Sirj Sultan (Ratu Atjeh),Ratu Atjeh konfirmasi ulang bebas-tol VOC di 4 pelabuhan westkust,"dat wy den Capiteyn Generael genadelyck ontslagen hebben van den tol van een schip, handelende in Ticou, Priaman, Indrapoura en Padangh... Item als andere Höllantsche scheepen in Ticou, Priaman, Indrapoura en Padang comen negotieeren, zullen haeren tol met realen piddangh betalen.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid I, traktat CXXXVI 'Atjeh-Sumatra's Westkust'. Tindakan resmi PERTAMA Ratu Atjeh tercatat setelah naik takhta (lihat baris suksesi terkait) -- langsung menegaskan ulang privilese VOC di Ticou/Priaman/Indrapoura/Padang, sinyal kesinambungan kebijakan dagang meski pergantian penguasa.",ratu-puncak,,,
CD1,555,528-532,6 & 9 November 1649,1649,perjanjian,oppercoopman Joan Truijtman (VOC) & utusan Atjeh,"Traktat harga-tetap: monopoli lada Tiku, Priaman, Indrapoura","Contract ende overeencominge tusschen de Nederlandsche Geoctroijeerde Oostindische Comp® ter eenre ende d'Aetchijnse ondersaten op de Sumatrase Westkust jn de plaetsen van Tyco, Priaman en Indrapoura... sullen secludereu ende ontseggen voortaen... alle vreemde negotianten hier te handelen op de voorschreven plaetsen, tzij wie die ook zijn, Europianen off Indianen, except die van de Aethijnce croone ende die van de Nederlantsche Comp®.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid I, traktat CLXXXIX. Monopoli dagang lada VOC-Atjeh diformalkan tertulis di 3 pelabuhan pantai barat, melarang eksplisit pedagang asing lain -- puncak kendali dagang Atjeh atas westkust sebelum retak 1656-57.",ratu-puncak,,,
CD1,564,538-541,15 Agustus 1650,1650,perjanjian,Sulltan Jangh de Pertuan (Perak) & Ratu Atjeh,Traktat monopoli timah Perak (vasal Atjeh),"heefft Hare Maij* Mamoelia Paducca Sirij Zulltan, regerende coninginne van 't vermaerde rijck Aetchin... vergunt, een oubepaellde preminentie van den vrijen tinhandell int Perasche gebiedt... dat van nu voortaen... dien handell alleen ende gemeen zall blijven voor d'Aetchinse natie ende die van de wellgemellte Comp®, met uijtsluijtingh van alle andere nationen.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid I, traktat CXCII 'Malakka-Atjeh'. Melengkapi traktat 1649: monopoli timah Perak menyusul monopoli lada Tiku/Priaman/Indrapoura, puncak formalisasi kendali dagang Atjeh atas pantai barat sebelum perang 1656-57.",ratu-puncak,,,
CD2,94,77-81,7 Desember 1655,1655,perjanjian,Sulltana Amina Todijn (Ratu Perak) & Ratu Atjeh; commissaris Dirck Schouten,Damai Perak: ganti rugi 50.000 real + jadwal tol ekspor timah,"Verdragh van vrede, gemaeckt ende gesloten tusschen de Sulltana Amina Todijn... ter eenre ende vereenighde Nederlandtsche Geoctroijeerde Generale Oostindische Compagnie ter ander zijde... dat bij die van Peragh aen de Nederlandtsche Oosstindische Comp[anie] sall werden volldaen een somma van vijfftigh duijzent realen in spetie... voor gereghtigheijt van den uijtvoer van thin van ijder hondert bhaar agh d[uijten]... voor ijder schipsladingh voor daetsgelt een bhare, voor ankeragie een bhaer en voor mastgelt vijffentwintigh bijdoor.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid II, traktat CCXVI 'Malaka-Atjeh'. Perjanjian damai mengakhiri konflik Perak (vasal Aceh) 1651 -- ganti rugi 50.000 real + jadwal tol EKSPOR TIMAH lengkap (per bahar, per jenis kapal: jaght/fregat/gorab/jonk/chaloup) yg dibayar VOC ke Ratu Aceh. Detail fiskal paling rinci di seluruh korpus riset kami soal tol dagang VOC-Aceh.",perang-damai,,,
CD2,168,152,20 Juni 1659,1659,perjanjian,Ratu Atjeh (Tadjoe'l Alam Safiatuddin) -> ambassadeurs Siry Bidie Indra & Siry Nara Wangsa,Syarat damai resmi VOC-Atjeh (proses damai 1659),Conditien bij de Gouverneur Generael ende Raden van India voorgestellt tot besleghtinge ende accomodatie der differenten ende geschillen tusschen de croone van Aetchin ende de Nederlandtsche Comp. ontstaen... Dat de Maij[esteit] van Aetchin sall jusstitie doen over de moordt in Peragh A° 1651 aen s'Comp[agnies] volk gepleeght ende met de doot doen straffen alle die daer handtdadigh offte schulldigh aen zijn geweest.,"SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid II, traktat CCXXXVIII 'Atjeh'. Syarat perdamaian resmi 20 Juni 1659 -- BEDA dokumen dari surat Ratu Atjeh 26 Mei 1659 yg sudah ada di data kami (source_document=1659), tapi bagian proses damai yg sama. Berisi syarat pengadilan pembunuhan 1651 di Perak & pengampunan Bhandhara.",perang-damai,,,
CD2,179,163,8 Agustus 1660,1660,perjanjian,Radjol & Ardiwangsa (Bantam) & komisaris Balthasar Bort,Kontrak dagang Sillebar dengan Bantam,"Contract van negotie gemaekt ende besloten tusschen Radjol en Ardiwangsa, opperbevelhebber wegens den Conink van Bantam in sijn handelplaatse, genaamt Sillebaar op 't eijlant Sumatra, ende den Comissaris Balthasar Bort... hebben wij, Radjol en Ardiwangsa... toegestaan, dat de bovengemelte Hollantse natie hier mogen comen handelen.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid II, traktat CCXLI 'Sumatra's Westkust-Bantam'. Kontrak dagang Sillebar (selatan Bengkulu, di bawah Bantam bukan Aceh) -- konteks kampanye westkust Bort 1660, di luar wilayah inti Aceh tapi bagian ekspansi VOC yg sama.",retak-painan,,,
CD2,184,168,16 Agustus 1660,1660,administratif,Atchinse Ambassadeurs Siri Indra & Siri Nara Wangsa; landsheeren Indrapoura,Klausul yurisdiksi VOC-Indrapoura (cikal bakal lepas dari Aceh),"Ider sal de sijne, wanneer se eenige misdaat mogten comen te begaen, na elx wetten en costume mogen straffen... Aldus gedaen ende besloten in de negerije Indrapoure ende in geschrifte gestelt, ende onderteijckent wederzijts... desen 16e Augustus 1660, ter presentie van d'Atchinse Ambassadeurs Siri Jndra en Siri Nara Wangsa.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid II. Klausul yurisdiksi VOC-Indrapoura, ditandatangani utusan Aceh yg SAMA (Siri Indra & Siri Nara Wangsa) dgn perdamaian 1659 -- cikal bakal traktat pemisahan penuh dari Aceh 27 Juli 1663 (lihat baris terkait).",retak-painan,Inderapura,,
CD2,268,252-255,27 Juli 1663,1663,perjanjian,landsheeren Indrapoura/Painang/Padang/Tico (Songypagouers) & commandeur Jan van Groenewegen,"Songypagouers (Indrapura, Painan, Padang, Tiku) resmi lepas dari Aceh","Accoort en eeuwig verbont gemaakt tusschen den Commandr Jan Groenewegen... ende de lantsheeren en Grooten van 't lant van Indrapoura, Paijnang, Padang en Tico ter anderen sijde... dat de gemelte Nederlantse Comp[agnie] voortaan in 't lant van Indrapoura... alleen sal mogen handelen... met uijtsluijtinge van alle andere volcken... alsoo de gemelte landheeren ende grooten van Indrapoura... gemoveert sijnde geworden, door de grote vexatien, gewelden ende onredelijkheden die sij... van de Aatchinse regeringe te lijden hebben... het voorschreven onverdraagelijck joch der voorschreven vremde regeringe van haren hals te werpen, ende de panglimas ende andere ministers van 't Atchinse hof met al haren aanhang uijt te setten... wesen tolvrij van alle coopmanschappen ende waren.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid II, traktat CCLXXV 'Sumatra's Westkust-Atjeh'. MELENGKAPI event 'Traktat Painan 1663' yg sudah ada di data kami (source_document=1663, dari korpus_tema_slim.csv/terjemahan Indonesia) dengan TEKS PRIMER LENGKAP (8 pasal) -- BUKAN duplikat. Konfederasi Songypagouers (Indrapoura, Painang/Painan, Padang, Tico) RESMI lepas dari mahkota Atjeh, minta perlindungan VOC, dpt bebas-tol & monopoli emas. Frasa 'onverdraagelijck joch' (kuk tak tertahankan) jadi kata kunci pemberontakan berulang di traktat-traktat CD2 lain.",retak-painan,,,
CD2,385,369,25 Juli 1667,1667,perjanjian,"sulthan Bajang Achmet Chia, sulthan Indrapoura Mamet Chia, radja Trousang -> commandeur Jacob Jorisse Pits",Sillida & Pulau Cingkuak diserahkan ke VOC,"Translaat opdragt van de negorije Sillida met de daaronder gehorende landen en t eijland Chinke... aan den heer commandeur Jacob Jorisz Pits... heeft den sulthan tot Bajang, Achmet Chia, sulthan Mamet Chia van Indrapoura, radja van Trousang ende gesamentlyke panglous van Bajang en Troussang de negorye Sillida met alle de daaronder sorterende plaatsen en landen... van de rivier Lompo noordwaards tot Pijnen suydwaarts, benevens 't eyland Chinko, aan den commandeur... opgedragen.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid II, traktat CCCXVI 'Sumatra's Westkust'. Catatan editor (Heeres) menyebut Pulau Cingkuak jadi lokasi LOGE BERBENTENG PERTAMA VOC di pantai barat (dibangun 1666). MELENGKAPI event 'penyerahan Sillida 1667' yg sudah ada (source_document terkait korpus_tema_slim, ringkasan) dengan teks traktat primer + batas wilayah presisi (sungai Lompo-Painan).",pengusiran-penataan,Pulau Cingkuak,independence,
CD2,399,383-384,29 April 1668,1668,perjanjian,"landsheeren Baros -> bouckhouder Joannis Molman, stadhouder Jacob Pits","Barus resmi lepas dari Aceh, sekutu Minangkabau-VOC","Accoort en eeuwigh verbont, gemaackt tusschen den bouckhouder Joannis Molman als gecommitteerde contrahente voor d'E. Compagnie... ende de lantsheren ende Grooten van 't geheele lant van Baros... alsoo gemelte lantheeren en Grooten... geseten hebben onder een onwettige ende onbetamelijcke heerschappij der Aatchinse regeringe, waarvan zij lieden vele vexatien, gewelden ende onfatsoenelijckheden... te lijden hebben gehadt... die alle het onverdraeglijcke Aetchinse jock ende volck afgeworpen, ende deselve crone in der eeuwigheijt hebben afgeswooren... sal wesen onder haaren wettigen beheerscher, den Maningcabousen coninck, ende onder de protexie van desselfs g'authoriseerde stadthouder, den E. Jacob Pits.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid II, traktat CCCXIX 'Sumatra's Westkust-Atjeh'. TEMUAN BESAR: Barus RESMI lepas dari Aceh 29 April 1668 -- MUNDURKAN bukti hubungan Aceh-Barus dari 1681 (traktat penyerahan senjata, source_document=1681) ke 1668, 13 tahun lebih awal. Bebas-tol + monopoli kapur-barus/kemenyan diberikan ke VOC/Minangkabau. Caveat lama '/riset/atjeh-dagang' yg bilang Barus nihil bukti eksplisit sampai 1681 PERLU DIREVISI -- traktat ini bukti Aceh-Barus PERTAMA yg sesungguhnya.",pengusiran-penataan,Barus,independence,
CD2,426,410,1668,1668,perjanjian,radja Adil (Majutta) & 12 depati Korintji,Kontrak emas Majutta-Korintji,"Contrackt gemaackt door den radja Adil op Majutten int bijwesen van den tommagon uijt den name en van wegen d'E. Compagnie ende des Maningcabousen Coninx ter eenre, met de 12 depaus off outsten van Corincien ter lantwaart Majutta... al hun goud te Majutta te zullen leveren.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid II, traktat CCCXXV 'Sumatra's Westkust'. Kontrak emas VOC-Minangkabau dgn 12 depati Korintji (selatan Indrapoura) -- konsolidasi kendali dagang emas westkust pasca-lepasnya Indrapoura dari Aceh.",pengusiran-penataan,,,
CD2,426,410,14 Juli 1668,1668,diplomasi,orangkaij Pere,VOC hadiahkan bendera ke orangkaya Pere,"Tot dien einde soo hebben hem, orangkaij Pere, tot teecken van oprechte en vaste genegentheijt t'zijnwaarts, een Compagnie's vlagge vereert, om deselve, bij verschijninge van onze Hollandse natie, daar op desselfs strant te laten waaijen.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid II. HADIAH DIPLOMASI eksplisit: VOC memberi bendera Kompeni ke orangkaya Pere (lokalitas kecil westkust) sbg tanda persahabatan -- dikibarkan di pantai saat kapal Belanda muncul, tanda pengenal aliansi. Contoh langsung 'hadiah dalam diplomasi' yg diminta user.",pengusiran-penataan,,,
CD2,449,433,1 Agustus 1671,1671,administratif,algemeene regenten tot Padang,Padang serahkan sukarela tol 10% (dulu milik Aceh) ke VOC,"Vrywillige opdragt, gedaan by de algemeene regenten tot Padang aen d'Ed. Comp[anie], nopende de 10 percte thol, van de uitheemse negotianten te ligten... dewelke verklaren hoe datse uyt eygen beweging ende besondere inclinatie aen de Comp[anie] in recompens voor eeuwig en altoos voor haar en alle haare nakomelingen schenken ende overgeven al sulken thol ende geregtigheyt, die alhier ten tyde der Aetchinse regering [geheven werden].","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid II, traktat CCCXXX 'Sumatra's Westkust'. TEMUAN TOL/PAJAK PALING EKSPLISIT: regent Padang SUKARELA menyerahkan hak pungut tol 10% dari pedagang asing -- hak fiskal yg SEBELUMNYA milik Aceh -- ke VOC selama-lamanya. Bukti langsung peralihan kedaulatan fiskal dari Aceh ke VOC di Padang.",pengusiran-penataan,Padang,voc_alliance,
CD2,454,438,8 & 10 September 1671,1671,administratif,"panglima nachoda Poetij, Siri Radja Oulebalang (Padang)",Pembaruan tata kelola Padang pasca-lepas Aceh,"dat de nakomelingen van den gemassacreerden sulthan basaar, orangcay Moulja en van de versonde Id Mejudra ende andre meer... noyt in regering sullen geadmitteert, maar daar van tot int derde en vierde lid geexcludeert blyven... nachoda Poetij tot haar gouverneur off panglima en Siri Radja Oulebalang haar tonge of voordrager en eerste pongoulon wesen sal.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid II. Pembaruan tata kelola Padang -- keturunan sultan yg dibantai dilarang permanen berkuasa (sampai generasi ke-4), pengangkatan panglima baru nachoda Poetij -- penataan politik pasca-lepas dari Aceh.",pengusiran-penataan,Padang,voc_alliance,
CD2,459,443-445,6 Desember 1671,1671,perjanjian,landtheren Priaman & commandeur Jacob Pits,"Priaman resmi lepas dari Aceh, formula bagi-hasil tol","Nader articulen en poincten... ter eenre ende de landtheren ende verdere regering van 't gehele lant van Priaman ende andre volkeren... is gemaekt, gesloten ende vastgestelt een eeuwigduurende vreede... alsoo gem[elde] lantsheren en Grooten... geseten hebben onder een onwettige regeringe der Aetchinse heerschappye, waarvan sij luijden veele vexatien, gewelden ende dwinglandyen van tyt tot tydt door denselver panglimas te lijden hebben gehadt... sal de gemelte Comp[agnie] in 't destriet in de gehele land van Priaman sal hebben tholvrij ende exemt van alle oude imposten.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid II, traktat CCCXXXIII 'Sumatra's Westkust-Atjeh'. Priaman resmi lepas dari Aceh (menegaskan ulang kontrak 1664 & 1670), bebas-tol VOC + formula bagi-hasil pungutan tol rinci ke 12 regent bernama -- dokumentasi fiskal paling detail di seluruh korpus soal bagaimana pungutan tol dibagi antar elit lokal pasca-Aceh.",pengusiran-penataan,Pariaman,voc_alliance,
CD2,476,460,19 Maret 1672,1672,perjanjian,regenten & pongolous Chinkel (Singkil),Cinkel (Singkil) gabung aliansi anti-Aceh,"Articulen van verbond, gesloten ende gemaakt tusschen de Generale Nederlandse Geoctrojeerde Oostindische Comp[anie] ende regenten en pongolous van Chinkel... alsoo gem[elde] landsheren ende onderdanen... geseten hebben onder eenen wettige ende onbetamelyke heerschappije der Aetchinse dwingelandij... teenemael geresolveerd ende te rade sijn geworden nevens haare gebuuren de Baloreese, die voor 3 jaaren en eerder dit onverdraaglyken jock hebben af g eworpen, ende deselve crone in der eeuwigheyt hebben afgesworen.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid II, traktat CCCXXXVI 'Sumatra's Westkust'. Cinkel (Singkil, kini wilayah Aceh) gabung aliansi anti-Aceh, mengikuti jejak Barus ('Baloreese') yg sudah lepas 3 tahun sebelumnya (1668/1669) -- pola pelepasan berantai dari kekuasaan Aceh di sepanjang pantai barat.",pengusiran-penataan,,,
CD2,498,482,5 Januari 1673,1673,administratif,radja Doulou & radja Disheer (Barus),Penyelesaian sengketa internal dua radja Barus,"Naerder byvoegsel tot het vorenstaende contract, bestaende in eenige weynige pointen, die ten versoeke van de regeringe op Baros op volgende manier sijn besloten... aangesien 't sedert de renovatie der contracte met dese regering gemaekt den eersten 8ber 1670 vele onlusten en oneenigheden ter saké van wantrouwenissen tusschen d'Ed. Comp[agnie] ende dese radjas Doulou en Ilheer syn ontstaan.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid II, traktat CCCXLII 'Sumatra's Westkust'. Penyelesaian sengketa internal dua radja Barus (Doulou & Ilheer) pasca-traktat 1668, mediasi VOC -- bukti hubungan Barus-VOC terus berlanjut & butuh perawatan aktif, bukan sekali traktat lalu selesai.",pengusiran-penataan,Barus,internal_conflict,
CD2,182,166-167,16 Agustus 1660,1660,diplomasi,Mametsa (Raja Indrapoura) & pejabat istana <- VOC (komisaris Balthasar Bort),"Jadwal hadiah tahunan VOC ke Raja & bangsawan Indrapoura (kain, cermin/kaca)","Op de comste van 't cargasoenschip, sal eenmaal in 't jaar... tot een vereering gegeven worden, namentlijk: Aan den Coninck, soo d'Ede Heer generael selfs geen schenckagie aan hem sent, 3 el laken, 1 ps bafta Brootchia, 1 ps groote spiegel, 1 ps sijde patool, 1 ps sijde stoffe en 1 ps alcatijff. Aen den Goedjerwan: 3 el laken, 1 ps sijde patool, 1 ps bafta Brootchia, 1 ps spiegel. Aan 2 boedjangs, 2 corcons, 1 pangloedoets, en 1 pongloe cauwel: 1 ps bafta Brootchia, 1 ps sijde patool ijder. Aende mantries tot 20 in getal: 1 ps sijde patool, of 1 ps bafta elck.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid II, traktat CCXLII 'Sumatra's Westkust-Atjeh' pasal 2 (16 Agustus 1660, TRAKTAT SAMA dgn event klausul yurisdiksi Indrapoura yg sudah ada -- MELENGKAPI, bukan duplikat). TEMUAN HADIAH DIPLOMASI PALING RINCI di seluruh sesi: jadwal vereering/schenckagie TAHUNAN dari VOC ke Raja Indrapoura (Mametsa/Mohamed Sjah) & pejabatnya, dibayar tiap kapal kargo tiba -- kain laken, bafta Brootchia (katun Gujarat), sutra patola, DAN 'groote spiegel'/'spiegel' (cermin/kaca besar) khusus ke Raja & pejabat Goedjerwan, plus kain ke 2 boedjang, 2 corcon, pangloedoets, pongloe cauwel, dan 20 mantri istana -- hierarki hadiah persis mengikuti hierarki jabatan.",retak-painan,Inderapura,voc_alliance,
CD3,171,160-161,22 September 1678,1678,perjanjian,regenten Priaman -> commandeur Melchior Hurt,"Priaman lepas lagi ke faksi Aceh, lalu diperbarui aliansi VOC","Nader articulen van een eeuwig verbond... in 1678 sloot de meerderheid der Priamanse regenten zich weer bij de Atjehsche partijgangers aan... Tot een inleydinge deses werden de contracten en accoorden, in voortyden tusgen d'E. Comp[agnie] en de regeringe van Priaman gemaakt en besloten, by desen ten volle geconfirmeert.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid III, traktat CDXXI 'Sumatra's Westkust'. Priaman sempat rejoin faksi Aceh 1678 (konteks: sengketa tambang emas Bajang-Sillida menyita perhatian VOC), lalu ditekan gubernur Melchior Hurt utk perbarui aliansi. MELENGKAPI rangkaian pelepasan-dari-Aceh yg sudah ada (1663 Painan, 1668 Barus, 1671 Priaman pertama).",pengusiran-penataan,Pariaman,voc_alliance,
CD3,188,177-178,18 April 1679,1679,perjanjian,Bajangers (sulthan Niamoelia) -> commandeur Melchior Hurt,Bajang tunduk pasca-perang tambang emas dengan Sillida,"Articulen, waerop de vrede aan de Bajangers staat geaccordeert en toegestaan te werden... die van Bajang met alle vermogen hebben verstout... blyven die van Bajang voor haar bedrevene rebellie gehouden uyt te keren een boete van 1000 rijxdaelders, om te verdistribueren als volgt: 200 rx8 voor Panglima Radja, 200 de Sillidase regenten, en 600 voor d'E. Comp[agnie].","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid III, traktat CDXXVI 'Sumatra's Westkust'. Perang Bajang-Sillida (1678) atas tambang emas Soengai Kepahian -- Bajang kalah, bayar denda, batas wilayah Sillida ditegaskan (Lompo Coedong-Songy Sala).",pengusiran-penataan,Bayang,voc_alliance,
CD3,208,197-198,20 November 1679,1679,perjanjian,radja d'Oulou & radja Sittia-moeda (Baros) -> Gouverneur-Generaal Rijklof van Goens,"Baros perbarui traktat 1668, 1670, 1673","Vernieuwinge soo van 't eerste, twede, als derde vredeverbond... Wy, ondergeschrevene, radja d'Oulou en radja Sittia-moeda... beloven en sweren by dit nader geschriv't, dat wy alle de voorgaande articulen, soo in 't eerste, tweede, als derde vredeverbond, met hunne ampliatiën, begrepen, na hunne regten teneur ende inhoude ter goeder trouwe sullen nakomen.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid III, traktat CDXXXII 'Sumatra's Westkust'. Barus perbarui SEMUA traktat sebelumnya (29 Apr 1668, 1 Okt 1670, 5 Jan 1673) di tengah tekanan radja d'Ilir yg Aceh-condong. Menegaskan Barus tetap setia VOC/Minangkabau meski Ilir belum menandatangani.",pengusiran-penataan,Barus,voc_alliance,
CD3,230,219-220,24 Juli - 8 Agustus 1680,1680,perjanjian,radja Poeti (Kotta-tengah) & Paoeh -> komisaris Laurens Pit,"Paoeh dan Kotta-tengah tunduk, dibebaskan dari kuk kekerasan Aceh","Vredesverdrag van Paoeh en Kotta-tengah. God segene en bewaere den Ed[ele] heer Gouverneur-Generael Rijckloff van Goens ende d'E. heeren Raden van India tot Batavia, die ons door de maght van haere waepenen vrygemaeckt ende verlost hebben van 't gewelt en dwingelandye der Atchinders.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid III, traktat CDXXXVIII 'Sumatra's Westkust'. Ekspedisi militer Laurens Pit (170 tentara + 500 bantuan Padang) memaksa tunduk Paoeh & Kotta-tengah -- bahasa eksplisit 'dibebaskan dari kekerasan Atjeh'.",pengusiran-penataan,,,
CD3,231,220-223,29 Agustus 1680,1680,perjanjian,"Sulthan Mamet-chia (Indrapoura), Panglima Radja (Padang), Poety (Kottatenga), Siry Narra (Sillida) -> komisaris Laurens Pit",Aliansi umum seluruh pantai barat: Seblat sampai Air Bangis bersatu di bawah VOC,"Nader verband met de algemene hooftregenten en Comp[agnies] bondgenoten, op en langs de Sumatrase Westcust... Wy, Jang de Pertuang, Sulthan Mamet-chia, keyser tot Indrapoura... Panglima Radja ende syne twaelv' raadsheren tot Padang, den gouverneur Poety... tot Cottatenga, mitsgaders den gouverneur Siry Narra... tot Sillida etc[etera], certificeren ende verclaren by desen... van Sablad Catamoen Zuydwaards tol Ajerbangi Noortwaards.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid III, traktat CDXXXIX 'Sumatra's Westkust'. TEMUAN TERBESAR CD3: aliansi umum PERTAMA yg menyatukan SELURUH penguasa pantai barat (Indrapoura, Padang, Kottatenga, Sillida) dalam satu traktat, mendefinisikan batas wilayah penuh dari Seblat (selatan) sampai Air Bangis (utara) di bawah perlindungan VOC.",pengusiran-penataan,,,
CD3,239,228-230,1 Januari 1681,1681,perjanjian,radja d'Oulou & radja d'Ilheer (Baros) -> oppercoopluyden Jan van Lene & Arent Silvius,"Barus resmi lepas total dari mahkota Aceh, serahkan senjata","radja d'Ileer ende de syne, sig hebbenfde] verootmoedigt... beloven by desen nader contracte volkomen gehoorsaamheyd, ende sodanige verbondbreking noyt meer te sullen beginnen, met afswering van alle andre oppermagten, ende specialijck de croone Aetche, voor hun ende hunne nakomelinge, altoos ende eeuwiglijck... sullen aan d'E. Comp[agnie] afstaan ende overhandigen alle 't geweer ende ammonitie van oorloge van de crone Aetche.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid III, traktat CDXLII 'Sumatra's Westkust'. Radja d'Ilir (Baros) AKHIRNYA tunduk total, sumpah lepas mahkota Aceh selamanya + serahkan senjata Aceh -- MELENGKAPI traktat Barus 1681 yg sudah ada (source_document=1681, dari korpus_tema_slim.csv/terjemahan) dengan teks primer lengkap VOC-Belanda periode yg sama.",pengusiran-penataan,Barus,voc_alliance,
CD3,244,233-235,27 Januari - 31 Maret 1681,1681,konflik,radja d'Ileir & radja Ebrahim (Baros) -> Jan van Leene & Arent Silvius,"Ampliatie: radja Ilir ketahuan sembunyikan agen Aceh, ditahan, wafat","Dat, nadien Radja d'Ileir met 'et nogh aanhouden ende verschuylen van den Aetchiensen Keys Jourouaan ende de twee dito boujanghs, mitsgaders den anderen bekenden rebel... sigh daarover weder verootmoedige, vergiffenisse daarvan versoeke... aan ons sal moeten reden geven ende verantwoorden de twee ongedaghtekende brieven... door denselven aan de croon Aetchin geschreven.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid III, traktat CDXLIV. Radja Ilir, meski baru sumpah lepas Aceh (1 Jan 1681), ketahuan MASIH menyembunyikan 2 agen Aceh + surat tak bertanggal ke Sultan Aceh -- ditahan VOC, wafat dalam tahanan beberapa minggu kemudian. Anaknya Radja Ebrahim menggantikan & menandatangani ulang sumpah.",pengusiran-penataan,Barus,internal_conflict,
CD3,263,252-253,12 Februari 1681,1681,perjanjian,regenten Sinkel (Singkil) -> Jan van Leene & Arent Silvius,"Singkil perbarui lepas dari Aceh, radja pro-Aceh diusir & rumahnya dibakar","Dat de regenten van Sinkei gesamentlijk ende elk in 't besonder van de regter- en de linkersyde der rivier opnieuw afsweren de kroon Aetchin, ende dat rijk met alle haare onderdanen verclaren ende houden voor hare vyanden... radja Lilla Sittia... voor haren vyand verclaren, sonder denselven oyt of oyt weder te laten in hun land komen.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid III, traktat CDXLV 'Sumatra's Westkust'. Singkil (yg sudah traktat 1672) kembali condong Aceh via radja Lilla Sittia -- diusir, rumahnya dibakar sbg bukti kesetiaan regenten lain. MELENGKAPI event Cinkel 1672 yg sudah ada.",pengusiran-penataan,,,
